n =  6, m = 14, t1f =  0.43, t1 =  1 <=> t2 =  1, t2f =  1.36
n =  6, m = 15, t1f =  0.40, t1 =  1 <=> t2 =  1, t2f =  1.33
n =  6, m = 16, t1f =  0.38, t1 =  1 <=> t2 =  1, t2f =  1.31
n =  6, m = 17, t1f =  0.35, t1 =  1 <=> t2 =  1, t2f =  1.29
n =  6, m = 18, t1f =  0.33, t1 =  1 <=> t2 =  1, t2f =  1.28
n =  6, m = 19, t1f =  0.32, t1 =  1 <=> t2 =  1, t2f =  1.26
n =  6, m = 20, t1f =  0.30, t1 =  1 <=> t2 =  1, t2f =  1.25
n =  7, m =  1, t1f =  7.00, t1 =  7 <=> t2 =  7, t2f =  7.00
n =  7, m =  2, t1f =  3.50, t1 =  4 <=> t2 =  4, t2f =  4.00
n =  7, m =  3, t1f =  2.33, t1 =  3 <=> t2 =  3, t2f =  3.00
n =  7, m =  4, t1f =  1.75, t1 =  2 <=> t2 =  2, t2f =  2.50
n =  7, m =  5, t1f =  1.40, t1 =  2 <=> t2 =  2, t2f =  2.20
n =  7, m =  6, t1f =  1.17, t1 =  2 <=> t2 =  2, t2f =  2.00
n =  7, m =  7, t1f =  1.00, t1 =  1 <=> t2 =  1, t2f =  1.86
n =  7, m =  8, t1f =  0.88, t1 =  1 <=> t2 =  1, t2f =  1.75
n =  7, m =  9, t1f =  0.78, t1 =  1 <=> t2 =  1, t2f =  1.67
n =  7, m = 10, t1f =  0.70, t1 =  1 <=> t2 =  1, t2f =  1.60
n =  7, m = 11, t1f =  0.64, t1 =  1 <=> t2 =  1, t2f =  1.55
n =  7, m = 12, t1f =  0.58, t1 =  1 <=> t2 =  1, t2f =  1.50
n =  7, m = 13, t1f =  0.54, t1 =  1 <=> t2 =  1, t2f =  1.46
n =  7, m = 14, t1f =  0.50, t1 =  1 <=> t2 =  1, t2f =  1.43
n =  7, m = 15, t1f =  0.47, t1 =  1 <=> t2 =  1, t2f =  1.40
n =  7, m = 16, t1f =  0.44, t1 =  1 <=> t2 =  1, t2f =  1.38
n =  7, m = 17, t1f =  0.41, t1 =  1 <=> t2 =  1, t2f =  1.35
n =  7, m = 18, t1f =  0.39, t1 =  1 <=> t2 =  1, t2f =  1.33
n =  7, m = 19, t1f =  0.37, t1 =  1 <=> t2 =  1, t2f =  1.32
n =  7, m = 20, t1f =  0.35, t1 =  1 <=> t2 =  1, t2f =  1.30
n =  8, m =  1, t1f =  8.00, t1 =  8 <=> t2 =  8, t2f =  8.00
n =  8, m =  2, t1f =  4.00, t1 =  4 <=> t2 =  4, t2f =  4.50
n =  8, m =  3, t1f =  2.67, t1 =  3 <=> t2 =  3, t2f =  3.33
n =  8, m =  4, t1f =  2.00, t1 =  2 <=> t2 =  2, t2f =  2.75
n =  8, m =  5, t1f =  1.60, t1 =  2 <=> t2 =  2, t2f =  2.40
n =  8, m =  6, t1f =  1.33, t1 =  2 <=> t2 =  2, t2f =  2.17
n =  8, m =  7, t1f =  1.14, t1 =  2 <=> t2 =  2, t2f =  2.00
n =  8, m =  8, t1f =  1.00, t1 =  1 <=> t2 =  1, t2f =  1.88
n =  8, m =  9, t1f =  0.89, t1 =  1 <=> t2 =  1, t2f =  1.78
n =  8, m = 10, t1f =  0.80, t1 =  1 <=> t2 =  1, t2f =  1.70
n =  8, m = 11, t1f =  0.73, t1 =  1 <=> t2 =  1, t2f =  1.64
n =  8, m = 12, t1f =  0.67, t1 =  1 <=> t2 =  1, t2f =  1.58
n =  8, m = 13, t1f =  0.62, t1 =  1 <=> t2 =  1, t2f =  1.54
n =  8, m = 14, t1f =  0.57, t1 =  1 <=> t2 =  1, t2f =  1.50
n =  8, m = 15, t1f =  0.53, t1 =  1 <=> t2 =  1, t2f =  1.47
n =  8, m = 16, t1f =  0.50, t1 =  1 <=> t2 =  1, t2f =  1.44
n =  8, m = 17, t1f =  0.47, t1 =  1 <=> t2 =  1, t2f =  1.41
n =  8, m = 18, t1f =  0.44, t1 =  1 <=> t2 =  1, t2f =  1.39
n =  8, m = 19, t1f =  0.42, t1 =  1 <=> t2 =  1, t2f =  1.37
n =  8, m = 20, t1f =  0.40, t1 =  1 <=> t2 =  1, t2f =  1.35
n =  9, m =  1, t1f =  9.00, t1 =  9 <=> t2 =  9, t2f =  9.00
n =  9, m =  2, t1f =  4.50, t1 =  5 <=> t2 =  5, t2f =  5.00
